ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
1,ใช้กระดาษอะไรพิมพ์วิทยานิพนธ์?,กระดาษปอนด์ขาวพิเศษ หรือ กระดาษถนอมสายตา ไม่มีเส้นบรรทัด ขนาด A4 น้ำหนัก 80 กรัม/ตร.ม.,"กระดาษ, ขนาดกระดาษ, A4, 80 กรัม","กะดาษ, กะดาด, กระดาด, A 4",บทที่ 3 หน้า 16
2,พิมพ์วิทยานิพนธ์ภาษาไทยใช้ฟอนต์อะไรและขนาดเท่าไหร่?,"ใช้ฟอนต์ AngsanaUPC, BrowalliaUPC, DilleniaUPC, EucrosiaUPC, CordiaUPC หรือ TH SarabunPSK ขนาด 16 พอยต์","ฟอนต์, ตัวอักษร, ขนาดฟอนต์, รูปแบบอักษร, ภาษาไทย","ฟ้อน, ฟ้อนต์, font, ฟรอนต์, ฟรอน",บทที่ 3 หน้า 16
3,พิมพ์วิทยานิพนธ์ภาษาอังกฤษใช้ฟอนต์อะไรและขนาดเท่าไหร่?,ใช้ฟอนต์ Times New Roman ขนาด 12 พอยต์,"ฟอนต์อังกฤษ, Times New Roman, ขนาดฟอนต์, ภาษาอังกฤษ","ฟ้อน, ฟ้อนต์, font, ไทมนิวโรมัน, time new roman",บทที่ 3 หน้า 16
4,การตั้งค่าหน้ากระดาษ (ขอบกระดาษ) ต้องเว้นระยะเท่าไหร่?,หัวกระดาษเว้น 1.5 นิ้ว (ถ้าขึ้นบทใหม่เว้น 2 นิ้ว) ขอบซ้ายเว้น 1.5 นิ้ว ขอบล่างและขอบขวาเว้น 1 นิ้ว,"ขอบกระดาษ, ตั้งหน้ากระดาษ, กั้นหน้า, กั้นหลัง, ระยะขอบ","ขอบกะดาษ, ขอบกระดาด, ตั้งค่าหน้ากะดาษ",บทที่ 3 หน้า 16
5,การลำดับหน้าในส่วนเนื้อหาและอ้างอิงใช้ตัวเลขแบบไหน วางไว้ตรงไหน?,ใช้ตัวเลขอารบิค พิมพ์ไว้ริมขอบขวาด้านบน ห่างจากขอบบนและขวาด้านละ 1 นิ้ว (ยกเว้นหน้าแรกของบทไม่ต้องใส่เลขหน้า),"เลขหน้า, ลำดับหน้า, การใส่เลขหน้า, ตำแหน่งเลขหน้า","เลกหน้า, ลำดับน่า, เลขน่า",บทที่ 3 หน้า 19
6,การใส่เลขหน้าในส่วนนำ (เช่น กิตติกรรมประกาศ สารบัญ) ต้องทำอย่างไร?,"ภาษาไทยใช้ ก, ข, ค... ภาษาอังกฤษใช้ i, ii, iii... วางไว้กลางหน้ากระดาษด้านล่าง ห่างขอบล่าง 0.5 นิ้ว","เลขหน้าส่วนนำ, ก ข ค, เลขโรมัน","เลกหน้า, ส่วนนัม, เลขน่า",บทที่ 3 หน้า 19
7,การส่งวิทยานิพนธ์ฉบับสมบูรณ์ต้องทำอย่างไร?,ส่งฉบับสมบูรณ์ 1 เล่ม ใส่ซองมาตรฐานขยายข้างสีน้ำตาล ปะสำเนาปกในหน้าซอง พร้อมแนบเอกสาร บว.29 และ บว.30,"ส่งเล่ม, วิทยานิพนธ์ฉบับสมบูรณ์, เล่มจบ, บว.30","ส่งเล่มจบ, ฉบับสมบูน, วิทยานิพน, วิจัย",บทที่ 1 หน้า 3-4
8,การเขียนบรรณานุกรมหรือเอกสารอ้างอิงใช้รูปแบบใด?,ใช้ได้ 2 รูปแบบ คือ แบบ APA หรือแบบ MLA แต่ต้องใช้แบบเดียวกันตลอดเล่ม,"บรรณานุกรม, เอกสารอ้างอิง, APA, MLA, รูปแบบอ้างอิง","บันนานุกม, บรรณานุกม, อ้างอิง, reference",บทที่ 3 หน้า 27-28
9,ปกนอกของเล่มวิทยานิพนธ์มีลักษณะอย่างไร?,ปกนอกเป็นปกแข็งสีดำ ตัวอักษรพิมพ์ด้วยสีทอง ข้อความเหมือนปกในทุกประการ,"ปกนอก, ปกแข็ง, สีปก, ปกวิทยานิพนธ์, สีตัวอักษร","ปกวิจัย, ปรกนอก, สีปรก",บทที่ 2 หน้า 8
10,การพิมพ์วิทยานิพนธ์ต้องพิมพ์หน้าเดียวหรือหน้าหลัง?,ถ้ามีตั้งแต่ 81 หน้าขึ้นไป ให้พิมพ์ 2 หน้าต่อกระดาษ 1 แผ่น (หน้าคี่อยู่หน้า หน้าคู่อยู่หลัง) และขึ้นบทใหม่ที่หน้าคี่เสมอ,"พิมพ์หน้าหลัง, พิมพ์สองหน้า, จำนวนหน้า, หน้าคี่, หน้าคู่","พิมหน้าหลัง, พิมสองหน้า, พิมหน้าเดียว",บทที่ 1 หน้า 3
11,การเสนอโครงการวิทยานิพนธ์ต้องลงทะเบียนกี่หน่วยกิต?,ต้องลงทะเบียนวิทยานิพนธ์ไม่น้อยกว่า 3 หน่วยกิตในภาคการศึกษานั้น,"ลงทะเบียน, หน่วยกิต, เสนอโครงการ","ลงทะเบี่ยน, น่วยกิต",บทที่ 1 หน้า 1
12,เกรดเฉลี่ยขั้นต่ำในการเสนอโครงการวิทยานิพนธ์คือเท่าไหร่?,นักศึกษาปริญญาโท แผน ก แบบ ก 2 ต้องได้คะแนนเฉลี่ยสะสมไม่ต่ำกว่า 3.00,"เกรดเฉลี่ย, เกรด, GPA, เสนอโครงการ","เกรดเฉลีย, เกรดขั้นต่ำ",บทที่ 1 หน้า 1
13,นักศึกษาปริญญาเอกต้องผ่านอะไรก่อนเสนอโครงการวิทยานิพนธ์?,ต้องสอบผ่านการสอบวัดคุณสมบัติ (Qualifying Examination) และสอบผ่านภาษาต่างประเทศ,"ปริญญาเอก, สอบวัดคุณสมบัติ, เสนอโครงการ","ป.เอก, ปริญญาเอก, สอบวัดคุนสมบัติ",บทที่ 1 หน้า 1
14,การเสนอโครงการวิทยานิพนธ์ใช้แบบฟอร์มอะไร?,"ใช้คำร้อง บว.01, บว.51 และ บว.02","แบบฟอร์ม, เสนอโครงการ, บว.01, บว.51, บว.02","ฟอม, แบฟอม",บทที่ 1 หน้า 1
15,บัณฑิตวิทยาลัยจะอนุมัติโครงการวิทยานิพนธ์ภายในกี่วัน?,จะพิจารณาอนุมัติภายใน 3 วันทำการ,"อนุมัติโครงการ, กี่วัน, ระยะเวลา","อนุมัติ, อณุมัติ",บทที่ 1 หน้า 1
16,ต้องยื่นขอสอบหัวข้อวิทยานิพนธ์ภายในกี่วันหลังจากขออนุมัติโครงการ?,ภายใน 30 วัน นับแต่วันที่ยื่นขออนุมัติโครงการวิทยานิพนธ์,"สอบหัวข้อ, ยื่นสอบ, ระยะเวลา, 30 วัน",สอบหัวข้อวิจัย,บทที่ 1 หน้า 2
17,การสอบหัวข้อวิทยานิพนธ์ใช้แบบฟอร์มอะไร?,ใช้คำร้อง บว.03 พร้อมโครงการย่อ บว.53,"แบบฟอร์มสอบหัวข้อ, บว.03, บว.53","ฟอม, แบฟอม",บทที่ 1 หน้า 2
18,หากสอบหัวข้อวิทยานิพนธ์ผ่านต้องรายงานผลภายในกี่วัน?,ต้องรายงานผลไปยังบัณฑิตวิทยาลัยภายใน 1 สัปดาห์นับจากวันสอบ,"รายงานผลสอบ, สอบหัวข้อผ่าน, รายงานผล",รายงานผลสอบ,บทที่ 1 หน้า 2
19,ถ้าสอบหัวข้อวิทยานิพนธ์ผ่านแบบมีการปรับปรุงแก้ไขต้องทำอย่างไร?,ต้องแก้ไขและยื่นคำร้อง บว.10 พร้อมโครงการฉบับแก้ไขภายใน 30 วัน,"แก้ไขหัวข้อ, สอบผ่านแบบมีเงื่อนไข, บว.10",แก้ไขงาน,บทที่ 1 หน้า 2
20,ถ้าสอบหัวข้อวิทยานิพนธ์ไม่ผ่านต้องทำอย่างไร?,ต้องเสนอโครงการวิทยานิพนธ์ใหม่และสอบหัวข้อใหม่,"สอบไม่ผ่าน, ตกสอบหัวข้อ","สอบหัวข้อไม่ผ่าน, สอบตก",บทที่ 1 หน้า 2
21,การเปลี่ยนหัวข้อวิทยานิพนธ์มีผลอย่างไร?,อาจารย์ที่ปรึกษาจะประเมินผลเป็น U และต้องลงทะเบียนยื่นขออนุมัติโครงการใหม่,"เปลี่ยนหัวข้อ, เปลี่ยนชื่อเรื่อง, เกรด U",เปลียนหัวข้อ,บทที่ 1 หน้า 2
22,ปริญญาโท แผน ก แบบ ก 1 ต้องได้รับอนุมัติหัวข้อกี่วันถึงสอบความก้าวหน้าได้?,ไม่น้อยกว่า 120 วัน,"สอบความก้าวหน้า, ปริญญาโท แผน ก 1, 120 วัน","สอบก้าวหน้า, ป.โท",บทที่ 1 หน้า 2
23,ปริญญาโท แผน ก แบบ ก 2 ต้องได้รับอนุมัติหัวข้อกี่วันถึงสอบความก้าวหน้าได้?,ไม่น้อยกว่า 60 วัน,"สอบความก้าวหน้า, ปริญญาโท แผน ก 2, 60 วัน","สอบก้าวหน้า, ป.โท",บทที่ 1 หน้า 2
24,ปริญญาเอก แบบ 1 ต้องได้รับอนุมัติหัวข้อกี่วันถึงสอบความก้าวหน้าได้?,ไม่น้อยกว่า 365 วัน,"สอบความก้าวหน้า, ปริญญาเอก แบบ 1, 365 วัน","สอบก้าวหน้า, ป.เอก",บทที่ 1 หน้า 2
